COMPARISONS:			
plus	more	moins	less
À quelle heure?	At what time?	Ça s’écrit comment?	How is it spelt?
C’est combien?	How much is it?	C’est quelle date?	What is the date?
C’est quel jour?	What is the day?	De quelle couleur?	What colour?
D’où?	From where?	Où ça?	Where is (that)?
Où est?	Where is?	Pour combien de temps ?	For how long?
Que veut dire…?	What does… mean?	Quelle heure est-il?	What time is it?
			
GREETINGS & EXCLAMATIONS:			
à bientôt	see you soon	à demain	see you tomorrow
à tout à l’heure	see you later	Allô	hello (on the telephone)
amitiés	best wishes/regards	au revoir	goodbye
au secours	help	bien sûr	of course
bienvenue!	welcome!	bonjour	hello/good morning
bon anniversaire	Happy birthday	bon appétit	enjoy your meal
bon voyage	have a good trip	bonne année	happy new year
bonne chance	good luck	bonne idée	good idea
bonne nuit	goodnight	bonnes vacances	have a nice holiday
bonsoir	good evening	bravo	well done
ça va (?)	ok (how are you ?)	d’accord	ok
de rien	you’re welcome	désolé	sorry
excusez-moi	excuse me	félicitations	congratulations
Joyeux Noël	Happy Christmas	meilleurs vœux	best wishes/seasons greetings
merci	thank you	non	no
oui	yes	pardon	sorry
quel dommage !	what a shame !	salut	hi/bye
santé	cheers	s’il te/vous plaît	please
			
OPINIONS:			
à mon avis	in my opinion	absolument	absolutely
affreux	awful	agréable	pleasant
aimer	to like	amusant	amusing/funny
barbant	boring	bien	good/fine/well
bien entendu	of course/naturally	bon	good
ça dépend	it depends	ça m’énerve	it annoys me
ça me fait rire	it makes me laugh	ça me plaît	I like that
ça m’est égal	I don’t mind	ça ne me dit rien	it means nothing to me
ça suffit	that’s enough	casse-pieds	annoying
cher	expensive	chouette	great
comique	comical/funny	comme ci comme ça	so-so
compliqué	complicated	content	happy
croire	to believe	d’accord	ok
désagréable	unpleasant/nasty	désirer	to desire/to wish
détester	to hate	difficile	difficult
dire	to say/tell	drôle	funny
embêtant	annoying/irritating	en général	in general
enchanté	enchanted/nice to meet you	ennuyeux	boring
espérer	to hope	étonné	surprised
facile	easy	faible	weak
fantastique	fantastic	formidable	great
franchement	frankly	généralement	generally
génial	great	grave	serious
habile	capable/able	intéressant	interesting
(s’) intéresser à	to be interested in	inutile	useless
incroyable	unbelievable	inquiet	anxious/worried
joyeux	happy	marrant	funny
en avoir marre (de) 	to be fed up (of/with)	mauvais	bad
merveilleux	marvellous	mignon	cute/sweet/kind/lovely
moche	ugly	moderne	modern
(moi) non plus	(me) neither	nouveau	new
nul	rubbish	optimiste	optimistic
passionnant	fascinating/enthralling	la peine	the trouble (also means to be sad. Eg avoir de la peine/tristesse)
penser	to think	pessimiste	pessimistic
peut-être	maybe	populaire	popular
positif/positive	positive	pratique	practical
préférer	to prefer	promettre	to promise
regretter	to regret/to be sorry	ridicule	ridiculous
rigolo	funny	sage	good/well-behaved/wise
sembler	to seem	sensass	sensational
simple	simple/easy	splendide	splendid
stupide	stupid	supporter	to support/put up with/accept
superbe	superbe	utile	useful
vouloir	to want/desire	zut !	drat/blast !
			
EXPRESSIONS OF TIME:			
demie	half past	environ	about
heure	hour	midi	midday
minuit	midnight	minute	minute
moins	to	quart	quarter
seconde	second	à la fois	at the same time
à l’avenir	in the future	à l’heure	on time
à temps partiel	part-time	an	year
année	year	après	after(wards)
après-demain	the day after tomorrow	après-midi	afternoon
aujourd’hui	today	auparavant	before, formerly
avant	before	avant-hier	the day before yesterday
bientôt	soon	d’abord	first of all
dans une minute	in a minute	d’habitude	usually
de bonne heure	early	début	beginning
demain	tomorrow	dernier	last
de temps en temps	from time to time	déjà	already
de nouveau	again	en attendant	meanwhile/in between time
en avance	early/ahead of	en retard	late
être en train de	to be in the process of	en même temps	at the same time
encore une fois	again/once more	enfin	finally
fin	end	hier	yesterday
il y a	there is/are	jour	day
journée	day(time)	lendemain	next day/following day
longtemps	a long time/while	maintenant	now
matin	morning	mois	month
en ce moment	at the moment	normalement	normally
nuit	night	parfois	sometimes/occasionally
passé	before/past/gone	pendant	during
plus tard	later	presque	nearly
prochain	next	quelquefois	sometimes
rarement	rarely	récemment	recently
semaine	week	seulement	only
siècle	century	soir	evening
soudain	suddenly	souvent	often
suivant	following/next	sur le point de	on the point of
tard	late	tôt	early
toujours	always	tous les jours	everyday
tout à coup/d’un coup	suddenly/all of a sudden	tout de suite	immediately/straightaway
vite	soon/quickly/fast	week-end	weekend
			
LOCATION & DISTANCE:			
à droite	on the right	à gauche	on the left
la banlieue	suburbs	le centre-ville	town centre
la campagne	countryside	chez	at home
de chaque côté	on each/either side	de l’autre côté	on the other side
en bas	downstairs	en haut	upstairs
est	is 	ici	here
un kilomètre	kilometre	là	there
là-bas	over there	loin de	far from
nord	north	nulle part	nowhere
ouest	west	par	by
partout	everywhere	quelque part	somewhere
situé	situated/located	sud	south
tout droit	straight on/ahead	tout près	(quite) near
toutes directions	all directions	la ville	town
			
COLOUR:			
blanc	white	bleu	blue
blond	blonde	brun	brown
clair	light	foncé	dark
gris	grey	jaune	yellow
marron	brown	noir	black
pourpre	purple	rose	pink
rouge	red	roux	redhaired
vert	green		
			
WEIGHTS & MEASURES:			
assez	quite	bas	low
beaucoup (de)	a lot (of)	une boîte	a box
une bouteille	a bottle	un centimètre	a centimetre
court	short	demi	half
encore de	more of	étroit	narrow
un gramme	a gram	grand	big
gros	fat	haut	high
un kilo	a kilo	large	wide
un litre	a litre	maigre	thin
mesurer	to measure	un mètre	a metre
mince	thin	moitié	half
un morceau	a piece/bit/morsel	moyen	average
un nombre	a number	un paquet	a packet
pas mal de	quite a few	peser	to weigh
petit	small	peu	little/few
plein de 	full of	la pointure	(shoe) size
rien	nothing	suffisamment	enough/sufficient
la taille	size	une tranche	a slice
très	very	trop	too
			
SHAPE:			
carré	square	hauteur	height
rond	round		
			
WEATHER:			
une averse	a shower	briller	to shine
le brouillard	fog	la chaleur	heat
chaud	hot	le ciel	sky
le climat	climate	couvert	covered/cloudy
le degré	degree	doux	mild
un éclair	lightning	une éclaircie	sunny spell
ensoleillé	sunny	faire beau	to be nice weather
faire mauvais	to be bad weather	froid	cold
geler	to freeze	la glace	ice
humide	humid/damp	la météo	weather forecast
mouillé	wet	la neige	snow
neiger	to snow	le nuage	cloud
nuageux	cloudy	l’ombre	shade
orageux	stormy	pleuvoir	to rain
la pluie	rain	sec	dry
le soleil	sun	la température	temperature
la tempête	storm	le temps	weather
le tonnerre	thunder	tremper	to soak
le vent	wind		
			
ACCESS:			
complet		full/complete	entrée libre	free entry
fermé	closed	fermer	to close
interdit	prohibited/forbidden	occupé	busy/occupied
ouvert	open	ouvrir	to open
la sortie	exit		
			
CORRECTNESS:			
avoir raison	to be right	avoir tort	to be wrong/incorrect
corriger	to correct	une erreur	error
une faute	mistake	faux	false
il (me) faut	(I) need	juste	right/true/accurate
nécessaire	necessary	obligatoire	obligatory/compulsory
parfait	perfect	sûr	sure/certain
se tromper	to make a mistake	vrai	true
			
MATERIALS:			
l’argent	silver	le béton	cement
le bois	wood	la brique	brick
le carton	cardboard	le coton	cotton
le cuir	leather	le fer	iron
la laine	wool	le métal	metal
l’or	gold	le papier	paper
la plastique	plastic	la soie	silk
le verre	glass		
			
ABBREVIATIONS:			
CDI – centre de documentation et d’information	school library	CES	secondary school
EMT	technology lessons	EPS	physical education/PE
HLM	council/social housing	SAMU	ambulance
SDF	homeless person	SNCF	french rail network
TGV	high-speed train	TVA	VAT
VTT	mountain bike		

















FOUNDATION TIER – You will be expected to use and understand the following vocabulary if you are taking the Listening and Reading exams at this level as well as the vocabulary off the General Vocabulary List. 
LIFESTYLE
HEALTH:			
l’abricot (m)	apricot	aider	to help
l’alcool (m)	alcohol	l’alimentation (f)	food/diet
aller bien/mieux	to be well/better	(s’) arrêter	to stop/give up
la baguette	baguette	la banane	banana
le beurre	butter	la bière	beer
le bifteck	beefsteak	le biscuit	biscuit
le bœuf	beef	boire	to drink
le bol	bowl	le bonbon	sweet
le café	coffee/café	la carotte	carrot
les céréales (f)	cereales	la cerise	cherry
le champignon	mushroom	les chips (m)	crisps
le chocolat	chocolate	le chocolat chaud	hot chocolate
la chose	thing/object	le chou	cabbage
le chou-fleur	cauliflower	le cidre	cider
le citron	lemon	le coca	coke
le cœur	heart	le comprimé	tablet
la confiture	jam	le couteau	knife
la crème (solaire)	(sun) cream	la crêpe	pancake
le croissant	croissant	la cuillère	spoon
la cuisine	kitchen	dangereux	dangerous
le déjeuner	lunch	délicieux	delicious
le dîner	dinner	la drogue	drug
se droguer	to take drugs	l’eau (f)	water
l’eau minérale (f)	mineral water	l’eau (non) potable	(non) drinkable water
en bonne forme	in good shape	en bonne santé	in good health
avoir envie de	to feel like	équilibré	balanced
la faim	hunger	fatigant	tiring
fatigué	tired	fort	strong
la fourchette	fork	frais	fresh
la fraise	strawberry	la framboise	raspberry
les frites (f)	chips	le fromage	cheese
les fruits de mer (m)	seafood	fumer	to smoke
le (non) fumeur	(no) smoker	le gâteau	cake
le goût	taste	goûter	to taste
gras	fat	l’habitude (f)	habit
le haricot vert	green bean	l’hôpital	hospital
le hors-d’œuvre	appetizer	l’huile (f)	oil
(s’) inquiéter	to  worry	le jambon	ham
le jus de fruit	fruit juice	le lait	milk
le légume	vegetable	la limonade	lemonade
la liste	list	avoir mal	to hurt
malade	ill	la maladie	illness
manger	to eat	le médecin	doctor
le médicament	medicine	la nourriture	food
l’obésité (f)	obesity	l’odeur (f)	smell
l’œuf (m)	egg	ordinaire	ordinary
le pain	bread	paresseux	lazy
le pâté	paté	les pâtes (f)	pasta
la pêche	peach	le petit-déjeuner	breakfast
les petits pois (m)	peas	la peur	fear
plein	full	la poire	pear
le poisson	fish	le poivre	pepper
la pomme	apple	la pomme de terre	potato
le porc	pork	le poulet	chicken
prendre	to take/have (food)	le raisin	grape
le régime	diet	(se) relaxer	to relax
le repas	meal	rester	to stay
le riz	rice	rôti	roast
sain	healthy	la salade	salad
sans	without	la santé	health
la saucisse	sausage	le saucisson	dry sausage
sauf	except	le saumon	salmon
le sel	salt	(se) sentir	to feel/smell
la soif	thirst	la soupe	soup
les spaghettis (m)	spaghetti	la spécialité	speciality
sucré	sweet	le sucre	sugar
surtout	especially/above all	le tabac	tabacco
la tarte	tart	le thé	tea
la tomate	tomato	tomber	to fall
tousser	to cough	la truite	trout
la vanille	vanilla	végétarien	vegetarian
le verre	glass	la viande	meat
vide	empty	le vin	wine
la vitamine	vitamin	vivre	to live
le yaourt	yoghurt		

			
RELATIONSHIPS & CHOICES:			
l’adresse (f)	address	l’adulte (m/f)	adult
l’âge (m)	age	aimable	kind/friendly
aîné	eldest/oldest/older	l’ami(e) (m/f)	friend
amical	friendly	l’amour (m)	love
l’anniversaire (m)	birthday	l’annonce (f)	announcement/news
(s’) appeler	to call (be called)	attendre	to wait
avoir … ans	to be … yrs old	la barbe	beard
battre	to beat/hit	bavard	talkative
bavarder	to talk	beau/belle	handsome/beautiful/attractive/
good looking
le beau-frère	brother-in-law	le beau-père	father-in-law/stepfather
le bébé	baby	la belle-mère	mother-in-law/stepmother
la belle-soeur	sister-in-law	bête	stupid
bouclé	curly	la carte d’identité	ID card
célèbre	famous	le chat	cat
cher	expensive	le cheval	horse
les cheveux (m)	hair	le chien	dog
le chômage	unemployment	le cochon d’Inde	guinea pig
connaître	to know/meet	contribuer	to contribute
le copain	(boy) friend	la copine	(girl) friend
critiquer	to criticise	la dame	lady
la date de naissance	date of birth	le demi-frère	stepbrother/half-brother
la demi-soeur	stepsister/half-sister	(se) disputer	to tell off (argue/quarrel)
divorcé	divorced	écrire	to write
égoïste	selfish	l’enfant (m/f)	child
(s’) entendre	to hear (get on)	fâché	angry
la famille	family	la femme	woman
la fille	girl	le fils	son
le frère	brother	le garçon	boy
les gens (m)	people	gentil	kind/gentle
la grand-mère	grandmother	le grand-père	grandfather
les grands-parents (m)	grandparents	(s’) habituer à	to get used to
hésiter	to hesitate	heureux	happy
l’homme (m)	man	l’identité (f)	identity
il s’agit de	it is about	jeune	young
joli	pretty	le lapin	rabbit
le lieu	place	loger	to stay/lodge/put up
les lunettes (de soleil) (f)	(sun) glasses	madame	madam/mrs
mademoiselle	young lady/miss	malheureux	unhappy
la maman	mum	le mari	husband
marié	married	(se) marier	to marry (get married)
méchant	bad/nasty/unkind	la mère	mother
monsieur	gentleman/sir/mr	la mort	death
la naissance	birth	la nationalité	nationality
né	born	le nez	nose
le nom (de famille)	name (surname)	l’oiseau (m)	bird
l’oncle (m)	uncle	le papa	dad
les parents (m)	parents	le/la partenaire (idéal(e))	(ideal) partner
le passeport	passport	les personnes défavorisées (f)	disadvantaged people
le petit ami	boyfriend	la petite amie	girlfriend
pleurer	to cry	le poisson rouge	goldfish
poli	polite	porter	to wear
le prénom	first name	les rapports (m)	relationships
refuser	to refuse	religieux	religious
remercier	to thank	le rendez-vous	appointment/meeting
respecter	to respect	la responsabilité	responsibility
riche	rich	rire	to laugh
sans travail	unemployed	la sécurité	safety
le sens de l’humour	sense of humour	séparé	separated
seul	only/alone/lonely	signer	to sign
la soeur	sister	le sondage	survey
sourire	to smile	la souris	mouse
sympa	nice	la tante	aunt
timide	shy	tranquille	quiet
triste	sad	le vandalisme	vandalism
la vérité	truth	vieux	old
le visage	face	le voisin	neighbour


LEISURE
FREE TIME & THE MEDIA:			
accompagner	to go along with	l’achat (m)	purchase
acheter	to buy	aller	to go
(s’) amuser	to entertain (have fun)	à l’appareil (m)	speaking (on the phone)
l’appel (m)	call	l’argent (de poche) (m)	(pocket) money
l’avantage (m)	advantage	le ballon	ball
la bande dessinée	comic strip/comic	la banque	bank
le basket	basketball	avoir besoin de	to need
la bijouterie	jewellers	le billet	ticket
le blouson	jacket	bon marché	cheap/bargain
la boucherie	butcher’s	la boucle d’oreille	earring
la boulangerie	baker’s	les boules (f)	bowls
la boutique	shop	le cadeau	present
la caisse	till	la carte de crédit	credit card
la ceinture	belt	le centre commercial	shopping centre
le centre de sport	sports centre	la chanson	song
chanter	to sing	le chanteur	singer
la chanteuse	singer	le chapeau	hat
la charcuterie	delicatessen	la chaussette	sock
la chaussure	shoe	la chemise	shirt
choisir	to choose	le choix	choice
le cinéma	cinema	le clavier	keyboard
le client	customer/client	cliquer	to click
le coiffeur	hairdresser	la coiffeuse	hairdresser
le coin	corner	la comédie	comedy
le concours	competition	la confiserie	sweet shop
la couleur	colour	courir	to run
la cravate	tie	le cyclisme	cycling
danser	to dance	démodé	unfashionable
dépenser	to spend (money)	le désavantage	drawback/handicap
le dessin animé	cartoon	le disque (compact)	(compact) disk
le documentaire	documentary	donner	to give
échanger	to exchange/swap	l’écran (m)	screen
l’émission (f)	programme	ensemble	together
l’entrée (f)	entrance	envoyer	to send
l’épicerie (f)	grocer’s	l’équipe (f)	team
l’équitation	horseriding	essayer	to try
faire des économies	to save	faire les courses	to go (food) shopping
faire les magasins	to go shopping 	être fana de	to be a fan of
favori	favourite	le feuilleton	soap opera
le film d’aventures	adventure film	le film d’horreur	horror film
le film de guerre	war film	le film de science-fiction	science-fiction film
le film policier	crime film	le film romantique	romantic film
gagner	to win	le gant	glove
gratuit	free	le groupe	group
la guitare	guitar	la gymnastique	gymnastics
l’hypermarché (m)	hypermarket	l’idée (f)	idea
l’imperméable (m)	raincoat	l’inconvénient	disadvantage
le jean	jeans	le jeu de cartes/société	card/board game
le jeu vidéo	video game	jouer	to play
le jouet	toy	le journal	newspaper
la jupe	skirt	laisser	to leave/drop
le lecteur dvd	dvd player	le lecteur mp3	mp3 player
la lecture	reading	la librairie	library
libre	free/available	lire	to read
la livre sterling	pound sterling	le magasin	shop
le maillot de bain	bathing costume	la maison de la presse	newsagents
le manteau	coat	le maquillage	make-up
le marchand (de fruit)	(fruit) stallholder	le marché	market
le membre	member	mettre de l’argent de côté	to put money aside
la mode (à la mode)	fashion(able)	la monnaie	change
la montre	watch	la musique (classique)	(classical) music
nager	to swim	la natation	swimming
le numéro (de téléphone)	(telephone) number	l’orchestre	orchestra
l’ordinateur	computer	la paire	pair
le pantalon	trousers	le parapluie	umbrella
le parfum	perfume	la parfumerie	perfumery
le passe-temps	hobby/pastime	le patin à roulettes	roller skating
le patinage	skating	patiner	to skate
la patinoire	skating rink	la pâtisserie	cake shop
la pêche	fishing	la pièce	play
le pique-nique	picnic	la piscine	swimming pool
la planche à voile	windsurfing	la poche 	pocket
le portable	mobile phone	le portefeuille	wallet
le porte-monnaie	purse 	la poste	post office
pousser	to push	le prix	price
(se) promener	to (go for a) walk	la publicité	advert
le pull	jumper	le pyjama	pyjamas
le rayon	shelf	recevoir	to receive
réduit	reduced	la réduction	reduction/discount
regarder	to watch/look	remplir	to fill
(se) rencontrer	to meet (up)	rentrer	to return/go back in/to
retourner	to return/go back	le risque	risk
la robe	dress	le rouge à lèvres	lipstick
le sac (à main)	(hand) bag	la sandale	sandal
sauter	to jump	la séance	session/sitting/performance
la série	series	le shampooing	shampoo
le short	shorts	aller sur un site	to go on a (web) site
le skate	skateboarding	le ski nautique	water skiing
les soldes (m)	sales	la sortie	exit
sortir	to go out	sous-titré	subtitled
le spectateur	spectator	sportif	sporty
les sports d’hiver (m)	winter sports	les sports nautiques	water sports
le stade	stadium	le supermarché	supermarket
le surf (de neige)	surfing (snowboarding)	surfer 	to surf (sea and internet)
la surprise-partie	surprise party	le sweat (shirt)	sweat shirt
taper	to type	la technologie	technology
la télé(vision)	tv (television)	le temps libre	free time
le texto	text message	le théâtre	theatre
tirer	to pull	toucher	to touch
la valeur	value	la vedette	star (person)
vendre	to sell	venir	to come
la version originale	original version	la veste	jacket
les vêtements (m)	clothes	la vitrine	shop window
la voile	sailing	voir	to see
le volley	volleyball	le VTT	mountain biking

			
HOLIDAYS:			
l’addition (f)	bill	l’aéroport (m)	airport
l’Afrique (f)/africain	Africa/African	l’agence de voyages (f)	travel agency
en plein air (l’air) (m)	open air (air)	l’Algérie (f)/algérien	Algeria/Algerian
l’Allemagne/allemand	Germany/German	l’aller-retour	return ticket
l’aller simple 	single ticket	les Alpes	Alpes
l’Amérique/américain	America/American	l’Angleterre/anglais	England/English
(s’) approcher	to approach/come closer	l’arrivée	arrival
l’ascenseur (m)	lift	l’assiette (f)	plate
l’Atlantique (m)	Atlantic	l’auberge de jeunesse (f)	youth hostel
l’Australie/australien	Australia/Australian	l’auto (f)	car/motocar
l’autobus (m)	bus	l’autoroute (f)	motorway
l’aventure (f)	adventure	l’avion (m)	airplane
les bagages (m)	luggage	(se) baigner	to bathe/swim
le bain	bath	le balcon	balcony
le bateau	boat	la Belgique/belge	Belgium/Belgian
la boisson	drink	le bord de la mer	seaside
(se) bronzer	to tan	le bureau des renseignements	tourist information office
le camion	lorry	le Canada/canadien	Canada/Canadian
le car	coach	la caravane	caravan
le carnet	book of tickets	le carrefour	crossroads
la carte	map	la carte postale	postcard
casser	to break	la chambre double	double room
la chambre de famille	family room	la chambre pour une personne/à deux lits	single room/twin bedded room
le château	castle	le chauffeur	driver
chercher	to look for	la Chine/chinois	China/Chinese
la classe	class	la colonie de vacances	holiday camp
commander	to order	composter	to stamp (a train ticket)
compris	included	conduire	to drive
confirmer	to confirm	le confort	comfort/wellbeing
la consigne	left-luggage office	la côte	coast
coûter	to cost	la demi-pension	half board
le départ	departure	la différence	difference
différent	different	le dortoir	dormitory
la douane	customs	la douche	shower
Douvres	Dover	le drapeau	flag
durer	to last	l’Ecosse (f)/écossais	Scotland/Scottish
Edimbourg	Edinburgh	l’employé(e) m/f	employee
encore	again(still/yet/although)	l’endroit (m)	place
l’Espagne (f)/espagnol	Spain/Spanish	l’essence (f)	petrol
les États-Unis (m)	United States	l’étoile	star
l’étranger (m) (à l’étranger)	stranger (abroad)	expliquer	to explain
les feux rouges (m)	traffic lights	la gare	station
la gare routière	bus station	(se) garer	to park
le gîte	holiday cottage	la Grande-Bretagne/britannique	Great Britain/British
le guichet	ticket office	l’horaire (m)	timetable
l’hôtel (m)	hotel	l’Inde (f)/indien	India/indian
l’Irlande (f) (du Nord)/irlandais	(Northern) Ireland/Irish	l’Italie (f)/italien	Italy/italian
le Japon/japonais	Japan/Japanese	le lac	lake
le lavabo	sink/washbasin	lentement	slowly
la ligne	line	la location (de voitures)	(car) hire
le logement	accommodation	le loisir	leisure
Londres	London	louer	to rent/hire
la Manche	English Channel	marcher	to walk
le Maroc/marocain	Morocco/Moroccan	la Méditerranée	Mediterranean
même	same/even	le menu à prix fixe	set price menu
la mer	sea	(se) mettre en route	to set off
mixte	mixed	la mobylette	moped
le monde	world	la moto	motorbike
l’office de tourisme (m)	tourist information office	partager	to share
partir	to leave	le passager	passenger
le passant	pedestrian/passer-by	le pays	country
le Pays de Galles/gallois	Wales/Welsh	le péage	toll
la pension complète	full board	le permis (de conduire)	(driving) licence
la pièce d’identité	ID card	le pied (à pied)	foot (on foot)
le piéton	pedestrian	la piste	path/trail/piste
la plage	beach	le plan de ville	map of the town
le plat (du jour/principal)	main meal/dish of the day	la Pologne/polonaise	Poland/Polish
le Portugal/portugais	Portugal/Portuguese	le pourboire	tip
pressé	squeezed/rushed	prêt	ready/packed
le projet	project/plan/proposal	faire une promenade	to go for a walk
le quai	platform	quitter	to leave
la randonnée	hiking	rapide	quick
recommender	recommend	la région	region
les renseignements (m)	information	la réservation	reservation
réserver	to reserve/book	le retour	return journey
revenir	to come back	le rond-point	roundabout
la rue	street/road	le sable	sand
le sac de couchage	sleeping bag	la saison	season
la salle d’attente	waiting room	la salle de bains	bathroom
le savon	soap	le séjour	stay
sens interdit	no entry	sens unique 	one way
le service compris	service included	servir	to serve
la sortie de secours	emergency exit	le spectacle	show
la station service	petrol station	stationner	to park
la Suisse/suisse	Switzerland/Swiss	suivre	to follow
le supplément	supplement/extra	le syndicat d’initiative	tourist information office
le tarif (réduit)	(reduced) price/fare	la tasse	cup
la tente	tent	le tourisme	tourism
le/la touriste	tourist	tourner	to turn
la Tunisie/tunisien	Tunisia/Tunisian	les vacances (f)	holidays
la valise	suitcase	le véhicule	vehicle
la visite (guidée)	(guided) visit/tour	visiter	to visit
la voiture	car	le vol	flight
voler	to fly	le voyage	journey
le voyageur	traveller	vraiment	really/truly/actually
la vue (de mer)	(sea) view		

HOME & ENVIRONMENT

HOME & LOCAL AREA:			
l’appartement (m)	apartment	l’arbre (m)	tree
l’armoire (f)	wardrobe	l’arrêt (d’autobus)	(bus) stop
(s’) asseoir	to sit down	le bâtiment	building
la bibliothèque	library	la boîte de nuit	nightclub
la boum	party	le bowling	bowling alley
le bruit	noise	le bureau	office/desk
calme	quiet/peaceful	la cathédrale	cathedral
la cave	cellar	la chaise	chair
le champ 	field	la clé	key
le club des jeunes	youth club 	le code postal	post code
la colline	hill	le commissariat	police station
confortable	comfortable	(se) coucher	to go to bed
le couloir	corridor	la cuisinière	cook/chef/cooker
déménager	to move house	descendre	to go down
dormir 	to sleep	l’église (f)	church
entrer	to enter/go in	l’escalier (m)	stairs
l’espace (m)	space	l’étage (m)	floor
faire du babysitting	to babysit	faire du jardinage	to garden
faire le ménage	to do the housework	faire la vaisselle	to do the washing-up
la fenêtre	window	la ferme	farm
la fête	party	le feu	fire
la fleur	flower	le four (à micro-ondes)	(microwave) oven
le frigo	fridge	garder	to keep/look after
l’habitant (m)	inhabitant	habiter	to live
historique	historic	l’hôtel de ville (m)	town hall
l’île (f)	island	l’immeuble (m)	block of flats/building
l’industrie (f)	industry	industriel	industrial
le jardin	garden	le jardin public	park
la lampe	lamp	le lave-vaisselle	dishwasher
(se) laver	to wash	laver la voiture	to wash the car
se lever	to get up	le lit	bed
la mairie	mayor	la maison individuelle/ jumelée	detached/semi-detached house
le mariage	marriage	le métro	metro
mettre	to put	le meuble	furniture
le miroir	mirror	la montagne	mountain
monter	to ride	montrer	to show
le mur	wall	le musée	museum
nettoyer	to clean	Noël	Christmas
le Nouvel An	New Year	Pâques	Easter
le parc	park	le parking	car park
la pelouse	lawn/grass	la pièce	room
le placard	cupboard	la place	square
le plafond	ceiling	la plante	plant
le pont	bridge	la porte (d’entrée¬)	(front) door
privé	private	le quartier	district/neighbourhood
le réveil	alarm clock	(se) réveiller	to wake up
le rez-de-chaussée	ground floor	le rideau	curtain
la rivière	river	la Saint-Valentin	St Valentine
la salle à manger	dining room	la salle de séjour	living room
le salon	lounge	la serviette	towel
le sous-sol	basement	le tableau	picture/board
le tapis	rug/carpet	le téléphone	telephone
télephoner	to telephone	le terrain de camping/de sport	campsite/sports field
la terrasse	patio/terrace	le toit	roof
le trottoir	pavement	(se) trouver	to find 
l’usine (f)	factory	la vache	cow
le vestibule	entrance hall	la vie	life
			
ENVIRONMENT:			
la boîte (en carton)	(cardboard) box	le centre de recyclage	recycling centre
la circulation	traffic	cultiver	to grow 
les déchets (m)	rubbish	l’environnement (m)	environment
jeter	to throw (away)	le pétrole	oil
la piste cyclable	cycle lane	pollué	polluted
la poubelle	rubbish bin	le problème	problem
propre	clean	protéger	to protect
recyclable	recyclable	recycler	to recycle
le sac en plastique	plastic bag	sale	dirty
sans plomb	unleaded	sauver	to save
les transports en commum (m)	public transport	la zone (piétonne)	(pedestrian) zone
	
WORK & EDUCATION
SCHOOL/COLLEGE & FUTURE PLANS:			
les affaires (f)	business	apprendre	to learn
l’apprenti(e) (m/f)	apprentice/trainee	l’apprentissage	apprenticeship
le bac 	A levels	la biologie	biology
le cahier	exercise book	la calculatrice	calculator
la carrière	career	la chimie	chemistry
le collège	secondary school (Y7 to Y10)	commencer	to start
comprendre	to understand	copier	to copy
la cour	playground	le cours	lesson
le crayon	pencil	défense de ….	no ….
demander	to ask	le dessin	art
dessiner	to draw	le détail	detail
détester	to hate	devoir	to have to/must
les devoirs (m)	homework	le dictionnaire	dictionary
difficile	difficult	la difficulté	difficulty
le directeur/la directrice	headteacher	discuter	to discuss/talk about
